无人机ID,路径顺序,目标X,目标Y,生存概率,飞行距离,任务时间
1,1,1112,2049,0.84,16398.200377673078,2733.0333962788463
1,2,5530,1424,0.85,16398.200377673078,2733.0333962788463
1,3,5989,2873,0.87,16398.200377673078,2733.0333962788463
1,4,5468,2606,0.7,16398.200377673078,2733.0333962788463
1,5,4483,3369,0.82,16398.200377673078,2733.0333962788463
1,6,4307,2322,0.79,16398.200377673078,2733.0333962788463
1,7,3177,756,0.82,16398.200377673078,2733.0333962788463
1,8,2233,10,0.89,16398.200377673078,2733.0333962788463
1,9,401,841,0.82,16398.200377673078,2733.0333962788463
2,1,4612,2035,0.74,20475.38469583357,2925.054956547653
2,2,6101,1110,0.73,20475.38469583357,2925.054956547653
2,3,6898,1885,0.82,20475.38469583357,2925.054956547653
2,4,7545,2801,0.82,20475.38469583357,2925.054956547653
2,5,6347,2683,0.74,20475.38469583357,2925.054956547653
2,6,5199,2182,0.76,20475.38469583357,2925.054956547653
2,7,4706,2674,0.87,20475.38469583357,2925.054956547653
2,8,5900,3561,0.76,20475.38469583357,2925.054956547653
2,9,3245,3305,0.73,20475.38469583357,2925.054956547653
2,10,1633,2809,0.77,20475.38469583357,2925.054956547653
3,1,675,1006,0.86,23422.59101050391,2856.413537866331
3,2,3082,1644,0.73,23422.59101050391,2856.413537866331
3,3,7462,3590,0.8,23422.59101050391,2856.413537866331
3,4,7541,3981,0.8,23422.59101050391,2856.413537866331
3,5,7555,4819,0.74,23422.59101050391,2856.413537866331
3,6,7608,4458,0.73,23422.59101050391,2856.413537866331
3,7,7352,4506,0.71,23422.59101050391,2856.413537866331
3,8,7762,4595,0.77,23422.59101050391,2856.413537866331
3,9,7732,4723,0.79,23422.59101050391,2856.413537866331
3,10,7611,5184,0.76,23422.59101050391,2856.413537866331
3,11,6426,3173,0.89,23422.59101050391,2856.413537866331
3,12,7573,3716,0.71,23422.59101050391,2856.413537866331
3,13,6107,669,0.74,23422.59101050391,2856.413537866331
