无人机ID,路径顺序,目标X,目标Y,生存概率,飞行距离,任务时间
1,1,538.0,923.5,0.84,10829.053373567276,1804.8422289278794
1,2,3177.0,756.0,0.82,10829.053373567276,1804.8422289278794
1,3,4706.0,2674.0,0.87,10829.053373567276,1804.8422289278794
1,4,3052.5,1793.0,0.765,10829.053373567276,1804.8422289278794
1,5,1916.0,1569.0,0.8,10829.053373567276,1804.8422289278794
2,1,5185.0,3258.0,0.76,17127.117977930513,2446.731139704359
2,2,5900.0,3561.0,0.76,17127.117977930513,2446.731139704359
2,3,6254.0,2909.67,0.7799999999999999,17127.117977930513,2446.731139704359
2,4,6271.0,2135.0,0.79,17127.117977930513,2446.731139704359
2,5,5530.0,1424.0,0.85,17127.117977930513,2446.731139704359
2,6,4459.5,2178.5,0.765,17127.117977930513,2446.731139704359
2,7,5468.0,2606.0,0.7,17127.117977930513,2446.731139704359
3,1,4608.0,1198.0,0.89,18436.20526564977,2248.3177153231427
3,2,7392.0,2244.0,0.72,18436.20526564977,2248.3177153231427
3,3,7545.0,2801.0,0.82,18436.20526564977,2248.3177153231427
3,4,7466.6,3661.0,0.8099999999999999,18436.20526564977,2248.3177153231427
3,5,7557.14,4740.57,0.7428571428571429,18436.20526564977,2248.3177153231427
3,6,6807.0,2993.0,0.83,18436.20526564977,2248.3177153231427
4,1,2233.0,10.0,0.89,14826.191417159855,2430.52318314096
4,2,5199.0,2182.0,0.76,14826.191417159855,2430.52318314096
4,3,6816.0,1669.0,0.7949999999999999,14826.191417159855,2430.52318314096
4,4,7265.0,1268.0,0.87,14826.191417159855,2430.52318314096
4,5,6104.0,889.5,0.735,14826.191417159855,2430.52318314096
4,6,4985.0,140.0,0.72,14826.191417159855,2430.52318314096
5,1,1112.0,2049.0,0.84,12425.24594558508,1634.9007823138265
5,2,1633.0,2809.0,0.77,12425.24594558508,1634.9007823138265
5,3,3484.0,2829.0,0.84,12425.24594558508,1634.9007823138265
5,4,4483.0,3369.0,0.82,12425.24594558508,1634.9007823138265
5,5,3245.0,3305.0,0.73,12425.24594558508,1634.9007823138265
5,6,16.5,2446.0,0.8200000000000001,12425.24594558508,1634.9007823138265
