聚类ID,X坐标,Y坐标,平均生存概率,包含原始目标
0,7557.14,4740.57,0.7428571428571429,"[18, 5, 16, 26, 29, 36, 42]"
1,7466.6,3661.0,0.8099999999999999,"[6, 17, 27, 35, 43]"
2,6254.0,2909.67,0.7799999999999999,"[14, 11, 32]"
3,6816.0,1669.0,0.7949999999999999,"[0, 8]"
4,538.0,923.5,0.84,"[3, 25]"
5,3052.5,1793.0,0.765,"[4, 47]"
6,4459.5,2178.5,0.765,"[13, 24]"
7,6104.0,889.5,0.735,"[15, 21]"
8,16.5,2446.0,0.8200000000000001,"[34, 44]"
9,2233.0,10.0,0.89,[1]
10,5530.0,1424.0,0.85,[2]
11,7265.0,1268.0,0.87,[7]
12,1112.0,2049.0,0.84,[9]
13,5468.0,2606.0,0.7,[10]
14,4706.0,2674.0,0.87,[12]
15,5900.0,3561.0,0.76,[19]
16,4483.0,3369.0,0.82,[20]
17,5199.0,2182.0,0.76,[22]
18,1633.0,2809.0,0.77,[23]
19,3177.0,756.0,0.82,[28]
20,7545.0,2801.0,0.82,[30]
21,3245.0,3305.0,0.73,[31]
22,4608.0,1198.0,0.89,[33]
23,7392.0,2244.0,0.72,[37]
24,3484.0,2829.0,0.84,[38]
25,6271.0,2135.0,0.79,[39]
26,4985.0,140.0,0.72,[40]
27,1916.0,1569.0,0.8,[41]
28,6807.0,2993.0,0.83,[45]
29,5185.0,3258.0,0.76,[46]
