目标ID,X坐标,Y坐标,生存概率
0,6734,1453,0.77
1,2233,10,0.89
2,5530,1424,0.85
3,401,841,0.82
4,3082,1644,0.73
5,7608,4458,0.73
6,7573,3716,0.71
7,7265,1268,0.87
8,6898,1885,0.82
9,1112,2049,0.84
10,5468,2606,0.7
11,5989,2873,0.89
12,4706,2674,0.87
13,4612,2035,0.74
14,6347,2683,0.74
15,6107,669,0.74
16,7611,5184,0.76
17,7462,3590,0.8
18,7732,4723,0.79
19,5900,3561,0.76
20,4483,3369,0.82
21,6101,1110,0.73
22,5199,2182,0.76
23,1633,2809,0.77
24,4307,2322,0.79
25,675,1006,0.86
26,7555,4819,0.74
27,7541,3981,0.8
28,3177,756,0.82
29,7352,4506,0.71
30,7545,2801,0.82
31,3245,3305,0.73
32,6426,3173,0.71
33,4608,1198,0.89
34,23,2216,0.89
35,7248,3779,0.86
36,7762,4595,0.76
37,7392,2244,0.72
38,3484,2829,0.84
39,6271,2135,0.79
40,4985,140,0.72
41,1916,1569,0.8
42,7280,4899,0.71
43,7509,3239,0.88
44,10,2676,0.75
45,6807,2993,0.83
46,5185,3258,0.76
47,3023,1942,0.8
