无人机ID,路径顺序,目标X,目标Y,生存概率,飞行距离,任务时间
1,1,401,841,0.82,20697.188,3449.53125
1,2,1916,1569,0.8,20697.188,3449.53125
1,3,3023,1942,0.8,20697.188,3449.53125
1,4,4985,140,0.72,20697.188,3449.53125
1,5,5530,1424,0.85,20697.188,3449.53125
1,6,6271,2135,0.79,20697.188,3449.53125
1,7,6898,1885,0.82,20697.188,3449.53125
1,8,7545,2801,0.82,20697.188,3449.53125
1,9,7541,3981,0.8,20697.188,3449.53125
1,10,7762,4595,0.76,20697.188,3449.53125
2,1,675,1006,0.86,20439.322,2919.9031808035716
2,2,10,2676,0.75,20439.322,2919.9031808035716
2,3,3484,2829,0.84,20439.322,2919.9031808035716
2,4,4612,2035,0.74,20439.322,2919.9031808035716
2,5,5468,2606,0.7,20439.322,2919.9031808035716
2,6,5989,2873,0.89,20439.322,2919.9031808035716
2,7,6426,3173,0.71,20439.322,2919.9031808035716
2,8,7248,3779,0.86,20439.322,2919.9031808035716
2,9,7352,4506,0.71,20439.322,2919.9031808035716
2,10,7732,4723,0.79,20439.322,2919.9031808035716
3,1,23,2216,0.89,23244.875,2834.7408536585367
3,2,1633,2809,0.77,23244.875,2834.7408536585367
3,3,3245,3305,0.73,23244.875,2834.7408536585367
3,4,4706,2674,0.87,23244.875,2834.7408536585367
3,5,5185,3258,0.76,23244.875,2834.7408536585367
3,6,6734,1453,0.77,23244.875,2834.7408536585367
3,7,7265,1268,0.87,23244.875,2834.7408536585367
3,8,7509,3239,0.88,23244.875,2834.7408536585367
3,9,7280,4899,0.71,23244.875,2834.7408536585367
3,10,7611,5184,0.76,23244.875,2834.7408536585367
4,1,2233,10,0.89,22411.977,3674.094518442623
4,2,3177,756,0.82,22411.977,3674.094518442623
4,3,4608,1198,0.89,22411.977,3674.094518442623
4,4,4483,3369,0.82,22411.977,3674.094518442623
4,5,6107,669,0.74,22411.977,3674.094518442623
4,6,6347,2683,0.74,22411.977,3674.094518442623
4,7,6807,2993,0.83,22411.977,3674.094518442623
4,8,7462,3590,0.8,22411.977,3674.094518442623
4,9,7608,4458,0.73,22411.977,3674.094518442623
5,1,1112,2049,0.84,22990.475,3025.0624486019738
5,2,3082,1644,0.73,22990.475,3025.0624486019738
5,3,4307,2322,0.79,22990.475,3025.0624486019738
5,4,5199,2182,0.76,22990.475,3025.0624486019738
5,5,6101,1110,0.73,22990.475,3025.0624486019738
5,6,5900,3561,0.76,22990.475,3025.0624486019738
5,7,7392,2244,0.72,22990.475,3025.0624486019738
5,8,7573,3716,0.71,22990.475,3025.0624486019738
5,9,7555,4819,0.74,22990.475,3025.0624486019738
